OTU ID,1,2,3,4,5,6,7
d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfarculales; f__Desulfarculaceae,24.0,6.5,57.0,44.75,23.25,1.25,10.5
d__Bacteria; p__Chlamydiae; c__Chlamydiae; o__Chlamydiales; f__cvE6,13.833333333333334,40.75,34.0,36.25,9.25,9.0,22.25
d__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__Lineage IV; f__uncultured bacterium,6.166666666666667,11.5,64.25,61.75,19.25,1.0,0.0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiales Incertae Sedis,18.833333333333332,16.0,50.0,38.0,28.75,7.5,4.25
d__Bacteria; p__Planctomycetes; c__OM190; o__metagenome; f__metagenome,10.833333333333332,3.5,38.25,66.0,31.0,6.75,5.5
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae,5.166666666666666,6.0,54.5,59.0,9.25,13.25,9.5
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,1.1666666666666665,21.75,120.75,7.0,2.25,0.0,1.75
d__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Rubinisphaeraceae,34.666666666666664,20.75,34.5,23.25,17.25,6.25,16.25
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae,28.0,26.25,27.25,24.75,30.25,8.0,6.0
d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Tepidisphaerales; f__CPla-3 termite group,7.5,11.75,53.25,36.25,37.5,3.25,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__NS11-12 marine group,24.0,24.25,56.5,23.0,18.5,0.5,1.75
d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Oligoflexales; f__0319-6G20,20.333333333333332,27.75,49.0,33.5,15.75,0.5,0.75
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__NS9 marine group,11.5,15.25,41.0,10.75,35.5,5.75,24.0
d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__uncultured bacterium,10.666666666666666,6.0,35.25,40.5,37.5,4.0,8.75
d__Bacteria; p__Omnitrophicaeota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophaceae,5.833333333333333,22.5,82.75,27.25,3.25,0.0,0.0
d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__uncultured bacterium,8.5,5.75,31.25,48.75,37.5,2.25,3.5
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Methylophilaceae,14.0,37.5,15.0,17.25,36.5,12.0,3.0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae,18.0,42.75,37.0,3.5,24.75,5.5,3.0
d__Bacteria; p__Planctomycetes; c__vadinHA49; o__uncultured bacterium; f__uncultured bacterium,16.0,25.0,54.75,27.5,8.0,1.0,0.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae,14.666666666666666,16.5,22.75,30.5,18.75,17.5,9.75
