SampleID,k__Bacteria|Other|Other,k__Bacteria|p__Actinobacteria|Other,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Coriobacteriia,k__Bacteria|p__Actinobacteria|c__Thermoleophilia,k__Bacteria|p__Bacteroidetes|Other,k__Bacteria|p__Bacteroidetes|c__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Cytophagia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Cyanobacteria|c__4C0d-2,k__Bacteria|p__Cyanobacteria|c__Chloroplast,k__Bacteria|p__Cyanobacteria|c__Nostocophycideae,k__Bacteria|p__Firmicutes|Other,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichi,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Gemmatimonadetes|c__Gemm-1,k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria],k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__[Brachyspirae],k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__TM7|c__TM7-3,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Tenericutes|c__RF3,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Bacteria|p__WPS-2|c__,k__Bacteria|p__[Thermi]|c__Deinococci
F160SX2T.03,0.000952492,0,0.011857554,1.94E-05,0,0,0,0.010594044,0,0,0,0,0,7.78E-05,0.094218957,0.702064381,0.000116632,0,0,0,0,0,0,0,0.177493974,0,0,0,0,0,0.002604774,0,0
G160TXHW.03,2.82E-05,0,0.172316424,0.004052013,0,0,0,0.047395841,0,0,0,0,0,0.000240015,0.01526211,0.733188383,0.000127067,0,0,0,0,0,0,0,0.027389911,0,0,0,0,0,0,0,0
E160V5WT.03,7.62E-05,0,0.011385112,0.001280254,0,0,0,0.131652746,0,0,0,0,0,0,0.00409986,0.699338536,0.002972017,1.52E-05,0,0,0,0,0,0,0.149180028,0,0,0,0,0,0,0,0
F160VTZK.03,6.93E-05,0,0.017624503,0.00487388,0,0,0,0.071375774,0,0,0,0,0,0,0.003626536,0.889448397,0.00043888,0,0,0,0.000207891,0.008477317,0,0,0.003857526,0,0,0,0,0,0,0,0
D160VFHM.03,1.70E-05,0,0.122100619,0.004106219,0,1.70E-05,0,0.125545092,0,0,0,0,0,3.39E-05,0.00110291,0.721930941,0.00196827,0,0,0,0,0.012182913,0.003342666,0,0.00700772,0,0.000542971,0,0,0,0.000101807,0,0
A160TMSL.03,2.42E-05,0,0.2390179,0.002685051,0,0,0,0.030636188,0,0,0,0,0,0.000181422,0.008611514,0.710534591,0,0,0,0,0,0,0,0.000798258,0.007414127,0,0,0,0,0,9.68E-05,0,0
H160TJ4S.03,0.000562332,0,0.110981342,0.007166133,0,2.88E-05,0,0.172506272,0,0,0,0,0,0.00011535,0.002407936,0.674121175,1.44E-05,0,0,0,0,0,0,0.016639271,0.015456931,0,0,0,0,0,0,0,0
G160WDGF.03,0,0,0.081446065,0.00089421,0,0,0,0.309597241,0,0,0,0,0,0,0.01259193,0.560541635,0.000164243,0.002737376,0,0,0,7.30E-05,0,0.007372666,0.024581638,0,0,0,0,0,0,0,0
A160VFX3.03,1.06E-05,0,0.007419437,0.003630111,0,0,0,0.203869995,0,0,0,0,0,0,0.015125462,0.670455993,0.001666454,0,0,0,0,7.43E-05,1.06E-05,1.06E-05,0.097652104,0,0,0,0,0,7.43E-05,0,0
A160WB2W.03,3.45E-05,0,0.175294544,0.012575253,0,0,0,0.112970278,0,0,0,0,0,5.18E-05,0.0002415,0.657466664,8.63E-05,1.73E-05,0,0,0,0.025064256,0.002639251,8.63E-05,0.009798002,0,0.003674251,0,0,0,0,0,0
A160VL66.03,7.63E-05,0,0.000724458,3.81E-05,0,0,0,0.363601701,0,0,0,0,0,0,0.002516539,0.487731874,0.000476617,0.096600766,0,0,1.91E-05,1.91E-05,0,0.000552876,0.047185099,0,0.000419423,3.81E-05,0,0,0,0,0
C160VVLJ.03,0,0,0.16662418,0.003555472,0,0,0,0.00364939,0,0,0,0,0,0,0.4235171,0.361235963,5.37E-05,0,0,0,0,9.39E-05,0,0.000134169,0.041136141,0,0,0,0,0,0,0,0
A160T15Q.03,0.000143742,0,0.142944881,0,0,0,0,0.017079163,0,0,0,0,0,3.92E-05,0.01365549,0.803387084,7.84E-05,0,0,0,0,2.61E-05,0,1.31E-05,0.022632831,0,0,0,0,0,0,0,0
D160WDF1.03,0,0,0.11716031,0.003047063,0,0,0,0.355784366,0,0,0,0,0,4.33E-05,0.008303609,0.498808613,0.000144411,7.22E-05,0,0,0,2.89E-05,0,0.005213222,0.011379554,0,0,0,0,0,0,0,1.44E-05
E160SS57.03,2.82E-05,0,0.07514565,0,0,0,0,0.298706428,0,0,0,0,0,1.41E-05,0.319767524,0.229302148,0,0,0,0,1.41E-05,0,0,1.41E-05,0.077007716,0,0,0,0,0,0,0,0
F160V4FH.03,3.84E-05,0,0.103128844,0.006092405,0,1.92E-05,0,0.197589945,0,0,0,0,0,1.92E-05,0.005880996,0.589906212,0.002978936,5.77E-05,0,0,0,0.056446033,0.011243081,1.92E-05,0.02634917,0,5.77E-05,0,0,0,0.00017297,0,0
B160V3H8.03,0.000632009,0,0.199768865,0.003196157,0,0,0,0.085772585,0,0,0,0,0,1.81E-05,0.011177522,0.615630474,0,0,0,0,0,0,0,0,0.08380433,0,0,0,0,0,0,0,0
B160WF0F.03,1.56E-05,0,0.162248771,0.013564806,0,0,0,0.00737353,0,0,0,0,0,3.11E-05,0.05466368,0.741413104,0.000326675,0,0,0,0.001711157,0.012102545,0,0,0.006502396,0,0,0,0,0,4.67E-05,0,0
E160V4DL.03,0.000507786,0,0.149364327,0.029921763,0,0,0,0.131516588,0,0,0,0,0,0,0.013898292,0.545023697,0.000112841,0.01566614,0,0,0,0,1.88E-05,0.097551343,0.0122809,0,0.004137516,0,0,0,0,0,0
H160TXJV.03,0.000349241,0,0.164248171,0.003352716,0,0,0,0.038154609,0,0,0,0,0,8.73E-05,0.111966752,0.664466447,0,0.004575061,0,0,0,0,0,0,0.012764769,0,0,3.49E-05,0,0,0,0,0
G160SV9V.03,0.000146546,0,0.09134725,0,0,0,0,0.043296317,0,0,0,0,0,8.14E-05,0.136499821,0.717702804,1.63E-05,0,0,0,0,0,0,0,0.010909565,0,0,0,0,0,0,0,0
